"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"MAGALLANICA-REVISTA DE HISTORIA MODERNA","2422-779X","2422-779X","UNIV NACIONAL MAR DEL PLATA, FAC HUMANIDADES","Funes 3350, Mar del Plata, Argentina, Buenos Aires, 7600","Spanish","History"
"MAGAZINE OF CIVIL ENGINEERING","2712-8172","2071-0305","ST-PETERSBURG STATE POLYTECHNICAL UNIV","POLYTECHNICHESKAYA UL 29, ST  PETERSBURG, RUSSIA, 195251","Russian, English","Engineering, Civil"
"MAGIS-REVISTA INTERNACIONAL DE INVESTIGACION EN EDUCACION","2027-1174","2027-1182","PONTIFICIA UNIV JAVERIANA, FAC EDUC","CARRERA 7MA N° 42-27 EDIFICIO LORENZO URIBE S J-SEGUNDO PISO, BOGOTA, COLOMBIA, DC, 00000","French, Portuguese, Spanish","Education & Educational Research"
"MAGNETIC RESONANCE IN SOLIDS","2072-5981","2072-5981","KAZAN FEDERAL UNIV","UL KREMLYOVSKAYA, 18, KAZAN, RUSSIA, 420008","English","Physics, Atomic, Molecular & Chemical"
"MAGNIFICAT CULTURA I LITERATURA MEDIEVALS","2386-8295","2386-8295","UNIV VALENCIA, SERVICIO PUBLICACIONS","ARTS GRAFIQUES, 13, VALENCIA, SPAIN, 46010","Catalan, English, Italian, Spanish","Medieval & Renaissance Studies"
"MAJALAH KEDOKTERAN BANDUNG","0126-074X","2338-6223","UNIV PADJADJARAN, FAKULTAS KEDOKTERAN, GEDUNG RUMAH SAKIT PENDIDIKAN","RUANG MAJALAH KEDOKTERAN BANDUNG LANTAI 3, JL PROF DR EIJKMAN NO 38, BANDUNG, INDONESIA, 40161","English, Indonesian","Medicine, General & Internal"
"MAKARA HUBS-ASIA","2355-794X","2406-9183","UNIV INDONESIA","DIRECTORATE RESEARCH & PUBLIC SERV, UI CAMPUS, KAMOUS UNIV INDONESIA, DEPOK, INDONESIA, 16424","Indonesian, English","Social Sciences, Interdisciplinary"
"MAKARA JOURNAL OF HEALTH RESEARCH","2356-3664","2356-3656","UNIV INDONESIA","DIRECTORATE RESEARCH & PUBLIC SERV, UI CAMPUS, KAMOUS UNIV INDONESIA, DEPOK, INDONESIA, 16424","English","Medicine, Research & Experimental"
"MAKARA JOURNAL OF SCIENCE","2339-1995","2356-0851","UNIV INDONESIA","DIRECTORATE RESEARCH & PUBLIC SERV, UI CAMPUS, KAMOUS UNIV INDONESIA, DEPOK, INDONESIA, 16424","English, Indonesian","Multidisciplinary Sciences"
"MAKARA JOURNAL OF TECHNOLOGY","2355-2786","2356-4539","UNIV INDONESIA, FAC ENGINEERING","KAMPUS UI DEPOK, DEPOK, INDONESIA, 16424","English, Indonesian","Engineering, Multidisciplinary"
"MALAYSIAN JOURNAL OF ECONOMIC STUDIES","1511-4554","1511-4554","PERSATUAN EKONOMI MALAYSIA","C/O NEW BLOCK FAC ECON & ADM, UNIV MALAYASIA, KUALA LUMPUR, MALAYSIA, 50603","English","Economics"
"MALAYSIAN JOURNAL OF ELT RESEARCH","1511-8002","1511-8002","MALAYSIAN ENGLISH LANGUAGE TEACHING ASSOC","G-11-2, PUTRA WALK JALAN PP25, TAMAN PINGGIRAN PUTRA, BANDAR PUTRA PERMAI, Malaysia, SERI KEMBANGAN, 43300","English","Education & Educational Research"
"MALAYSIAN JOURNAL OF FUNDAMENTAL AND APPLIED SCIENCES","2289-5981","2289-599X","PENERBIT UTM PRESS","PENERBIT UTM PRESS, SKUDAI, JOHOR, MALAYSIA, 81310","English","Multidisciplinary Sciences"
"MALAYSIAN JOURNAL OF LEARNING & INSTRUCTION","1675-8110","2180-2483","UNIV UTARA MALAYSIA PRESS","UNIV UTARA MALAYSIA PRESS, SINTOK, MALAYSIA, KEDAH, 06010","English","Education & Educational Research"
"MALAYSIAN JOURNAL OF MATHEMATICAL SCIENCES","1823-8343","1823-8343","UNIV PUTRA MALAYSIA PRESS","SERDANG, SELANGOR, MALAYSIA, 00000","Multi-Language","Mathematics"
"MALAYSIAN JOURNAL OF MEDICAL SCIENCES","1394-195X","2180-4303","PENERBIT UNIV SAINS MALAYSIA","PENERBIT UNIVERSITI SAINS MALAYSIA, PULAU PINANG, MALAYSIA, PINANG, 11800","English","Medicine, Research & Experimental"
"MALAYSIAN JOURNAL OF MICROBIOLOGY","1823-8262","2231-7538","MALAYSIAN SOC MICROBIOLOGY","UNIV SAINS MALAYSIA, SCHOOL BIOLOGICAL SCIENCES, PENANG, MALAYSIA, 11800","English","Microbiology"
"MALAYSIAN JOURNAL OF MUSIC","2600-9366","2600-9331","UNIV PENDIDIKAN SULTAN IDRIS, FAC MUSIC & PERFORMING ARTS","UNIV PENDIDIKAN SULTAN IDRIS, FAC MUSIC & PERFORMING ARTS, TANJUNG MALIM, MALAYSIA, 00000","Multi-Language","Music"
"MALAYSIAN JOURNAL OF SOIL SCIENCE","1394-7990","1394-7990","MALAYSIAN SOC SOIL SCIENCE","C/O DEPT LAND MANAGEMENT, FAC AGRICULTURE, SERDANG, SELANGOR, MALAYSIA, 43400","English","Soil Science"
"MALAYSIAN ORTHOPAEDIC JOURNAL","1985-2533","2232-111X","MALAYSIAN ORTHOPAEDIC ASSOC","LEMBAH PANTAI, LUMPUR, MALAYSIA, 59100","English","Orthopedics"
"MALIYE DERGISI","1300-3623","1300-3623","MALIYE BAKANLIGI","MALIYE BAKANLIGI, ANKARA, TURKEY, 00000","Turkish","Business, Finance"
"MANAGEMENT","1286-4692","1286-4692","ASSOC INT MANAGEMENT STRATEGIQUE-AIMS","AUDENCIA NANTES-ECOLE DE MANAGEMENT, 8 RTE DE LA JONELIERE, BP 31222, NANTES CEDEX 3, FRANCE, 44312","English","Management"
"MANAGEMENT AND PRODUCTION ENGINEERING REVIEW","2080-8208","2082-1344","POLSKA AKAD NAUK, POLISH ACAD SCIENCES","PL DEFILAD 1, WARSZAWA, POLAND, 00-901","English","Engineering, Industrial"
"MANAGEMENT IN EDUCATION","0892-0206","1741-9883","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","","Education & Educational Research"
"MANAGEMENT-JOURNAL OF CONTEMPORARY MANAGEMENT ISSUES","1331-0194","1846-3363","UNIV SPLIT, FAC ECONOMICS","MATICE HRVATSKE 31, SPLIT, CROATIA, 21000","English","Management"
"MANAGEMENT & MARKETING-CHALLENGES FOR THE KNOWLEDGE SOCIETY","1842-0206","2069-8887","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English","Business"
"MANAGEMENT OF ENVIRONMENTAL QUALITY","1477-7835","1758-6119","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Environmental Studies"
"MANAGEMENT-POLAND","1429-9321","2299-193X","UNIV ZIELONA GORA PRESS","UL PODGORNA 50, ZIELONA GORA, POLAND, 65-246","English","Management"
"MANAGEMENT RESEARCH AND PRACTICE","2067-2462","2067-2462","RESEARCH CENTER PUBLIC ADM & PUBLIC SERVICE","CALEA SERBAN VODA 22-24, BUCHAREST, ROMANIA, 040211","English","Management"
"MANAGEMENT RESEARCH REVIEW","2040-8269","2040-8277","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Management"
"MANAGEMENT RESEARCH-THE JOURNAL OF THE IBEROAMERICAN ACADEMY OF MANAGEMENT","1536-5433","1558-0946","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Management"
"MANAGEMENT REVUE","0935-9915","1861-9908","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","WALDSEESTR 3 5, BADEN-BADEN, GERMANY, 76530","English","Management"
"MANAGEMENT SYSTEMS IN PRODUCTION ENGINEERING","2299-0461","2450-5781","SCIENDO","BOGUMILA ZUGA 32A, WARSAW, Poland, MAZOVIA, 01-811","English, Polish, Russian","Engineering, Industrial"
"MANAGEMENT THEORY AND STUDIES FOR RURAL BUSINESS AND INFRASTRUCTURE DEVELOPMENT","1822-6760","2345-0355","VYTAUTAS MAGNUS UNIV","K DONELAICIO G 52-304, KAUNAS, LITHUANIA, 44244","English, Lithuanian","Business"
"MANAGERIAL FINANCE","0307-4358","1758-7743","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business, Finance"
"MANAGING SPORT AND LEISURE","2375-0472","2375-0480","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Management"
"MANCHESTER JOURNAL OF INTERNATIONAL ECONOMIC LAW","1742-3945","1742-3945","ELECTRONIC PUBL LTD","120 SPRING GROVE RD, HOUNSLOW E, HOUNSLOW, MIDDLESEX , England, TW3 4","English","Economics | Law"
"MANDENKAN-BULLETIN SEMESTRIEL D ETUDES LINGUISTIQUES MANDE","0752-5443","0752-5443","CENTRE NATL RECHERCHE SCIENTIFIQUE, LANG LANG & CULT AFR NOIRE","7 RUE GUY MOQUET, VILLEJUIF, FRANCE, 94807","French","Linguistics"
"MANOA-A PACIFIC JOURNAL OF INTERNATIONAL WRITING","1045-7909","1527-943X","UNIV HAWAII PRESS","2840 KOLOWALU ST, HONOLULU, United States, HI, 96822","English","Literary Reviews"
"MANUELLE MEDIZIN","0025-2514","1433-0466","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","Multi-Language","Rehabilitation"
"MANUFACTURING LETTERS","2213-8463","2213-8463","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","English","Engineering, Manufacturing | Materials Science, Multidisciplinary"
"MANUFACTURING REVIEW","2265-4224","2265-4224","EDP SCIENCES S A","17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944","English","Engineering, Manufacturing"
"MANUFACTURING TECHNOLOGY","1213-2489","2787-9402","JAN EVANGELISTA PURKYNE UNIV","Pasteurova 3544/1, Usti nad Labem, Czech Republic, 400 96","","Engineering, Manufacturing | Engineering, Mechanical | Materials Science, Multidisciplinary"
"MANUSCRIPT STUDIES-A JOURNAL OF THE SCHOENBERG INSTITUTE FOR MANUSCRIPT STUDIES","2381-5329","2380-1190","UNIV PENNSYLVANIA PRESS","JOURNALS DIVISION, 3905 SPRUCE STREET, PHILADELPHIA, USA, PA, 19104","English","Humanities, Multidisciplinary"
"MANUSCRITS-REVISTA D HISTORIA MODERNA","0213-2397","2014-6000","UNIV AUTONOMA BARCELONA","VICERECTORAT RELACIONS INSTITUCIONALS & CULTURA, UNIV VALENCIA, VICERECTORAT INVESTIGACIO, CERDANYOLA DEL VALLES, BARCELONA, Spain, 08193","Multi-Language","History"
"MANZAR-THE SCIENTIFIC JOURNAL OF LANDSCAPE","2008-7446","2008-2169","NAZAR RESEARCH CENTER ART ARCHITECTURE & URBANISM","NO 23, DR QARIB ST AZADI AVE, TEHRAN, IRAN, 14198-43311","Multi-Language","Architecture"
"M+A-REVISTA ELECTRONICA DE MEDIO AMBIENTE","1886-3329","1886-3329","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","CIUDAD UNIV, OBISPO TREJO 3, MADRID, SPAIN, 28040","Spanish","Environmental Studies"
"MARGIN-JOURNAL OF APPLIED ECONOMIC RESEARCH","0973-8010","0973-8029","SAGE PUBLICATIONS INDIA  PVT LTD","B-1-I-1 MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA RD, POST BAG NO 7, NEW DELHI, INDIA, 110 044","English","Economics"
"MARINE INTELLECTUAL TECHNOLOGIES","2073-7173","2073-7173","RESEARCH CENTRE MARINE INTELLIGENT TECHNOLOGIES","190121, LOTSMANSKAYA ST, 3, ST PETERSBURG, RUSSIA, 00000","Russian","Engineering, Marine"
"MARITIME BUSINESS REVIEW","2397-3757","2397-3765","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","English","Business"
"MARITIME STUDIES","1872-7859","2212-9790","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121","English","Environmental Studies"
"MARITIME TRANSPORT RESEARCH","2666-822X","2666-822X","ELSEVIER","RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX","","Transportation | Transportation Science & Technology"
