"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"SYNTHESIS-LA PLATA","0328-1205","1851-779X","UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC","CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900","Spanish, English, French, Portuguese","Classics"
"SYNTHESIS PHILOSOPHICA","0352-7875","1848-2317","CROATIAN PHILOSOPHICAL SOC","I LUCICA 3, ZAGREB, CROATIA, 10000","English","Philosophy"
"TAIDA JOURNAL OF ART HISTORY","1023-2095","","NATL TAIWAN UNIV, GRADUATE INST ART","NO 1, SEC 4, ROOSEVELT RD, TAIPEI, TAIWAN, 106","Multi-Language","Art"
"TALLER DE LETRAS","0716-0798","0716-0798","PONTIFICIA UNIV CATOLICA CHILE, FAC LETRAS","AV VICUNA MACKENNA 4860, SANTIAGO, CHILE, 00000","Spanish","Literature, Romance"
"TANZ","1869-7720","1869-7720","FRIEDRICH BERLIN VERLAG MBH","REINHARDSTRASSE 29, BERLIN, GERMANY, D-10117","German","Dance"
"TARGET-INTERNATIONAL JOURNAL OF TRANSLATION STUDIES","0924-1884","1569-9986","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME","English","Language & Linguistics"
"TDR-THE DRAMA REVIEW-THE JOURNAL OF PERFORMANCE STUDIES","1054-2043","1531-4715","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Theater"
"TEACHING PHILOSOPHY","0145-5788","2153-6619","PHILOSOPHY DOCUMENTATION CENTER","PO BOX 7147, CHARLOTTESVILLE, USA, VA, 22906-7147","English","Philosophy"
"TECHNOLOGY AND CULTURE","0040-165X","1097-3729","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","English","History & Philosophy Of Science"
"TEKSTY DRUGIE","0867-0633","2545-2061","POLISH ACAD SCIENCES, INST LITERARY RESEARCH","UL NOWY SWIAT 72, PALAC STASZICA, ROOM 1, WARSZAWA, POLAND, 00-330","Polish","Literature, Slavic"
"TEL AVIV-JOURNAL OF THE INSTITUTE OF ARCHAEOLOGY OF TEL AVIV UNIVERSITY","0334-4355","2040-4786","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Archaeology"
"TELEVISION & NEW MEDIA","1527-4764","1552-8316","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Film, Radio, Television"
"TELOS","0090-6514","1940-459X","TELOS PRESS LTD","431 E 12TH ST, NEW YORK, USA, NY, 10009","English","Philosophy"
"TEMENOS","0497-1817","","FINNISH SOC STUDY RELIGION","UNIV TURKU, DEPT COMPARATIVE RELIGION, TURKU, FINLAND, 20014","English","Religion"
"TEMPO","0040-2982","1478-2286","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Music"
"TEMPO-NITEROI","1413-7704","1980-542X","UNIV FED FLUMINENSE, DEPT HISTORIA","CAMPUS DO GRAGOATA, BLOCO O, SALA 513, NITEROI RJ, BRAZIL, 24210-350","Portuguese","History"
"TEOLOGIA Y VIDA","0049-3449","0717-6295","PONTIFICIA UNIV CATOLICA CHILE, FACULTAD TEOLOGIA","AV VICUNA MACKENNA 4860, SANTIAGO, CHILE, 00000","Spanish","Religion"
"TEOREMA","0210-1602","","KRK EDICIONES","ALVAREZ LORENZANA, 27, OVIEDO, SPAIN, 33006","Spanish","Philosophy"
"TEORIA-RIVISTA DI FILOSOFIA","1122-1259","","EDIZIONI ETS","Lungarno Mediceo 16, PISA, Italy, 56127","Multi-Language","Philosophy"
"TERMINOLOGY","0929-9971","1569-9994","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME","English","Language & Linguistics"
"TEXAS STUDIES IN LITERATURE AND LANGUAGE","0040-4691","1534-7303","UNIV TEXAS PRESS","JOURNAL DIV, 2100 COMAL, AUSTIN, USA, TX, 78722","English","Literature"
"TEXT AND PERFORMANCE QUARTERLY","1046-2937","1479-5760","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Humanities, Multidisciplinary"
"TEXTILE-CLOTH AND CULTURE","1475-9756","1751-8350","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Humanities, Multidisciplinary"
"TEXTILE HISTORY","0040-4969","1743-2952","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Humanities, Multidisciplinary"
"TEXT & KRITIK","0040-5329","0040-5329","EDITION TEXT KRITIK GMBH","POSTFACH 800529, MUNICH, GERMANY, W-8000","German","Literature, German, Dutch, Scandinavian"
"TEXT & TALK","1860-7330","1860-7349","DE GRUYTER MOUTON","GENTHINER STRASSE 13, BERLIN, GERMANY, 10785","English","Language & Linguistics"
"TEXTUAL PRACTICE","0950-236X","1470-1308","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Literature"
"THEATER","0161-0775","1527-196X","DUKE UNIV PRESS","905 W MAIN ST, STE 18-B, DURHAM, USA, NC, 27701","English","Theater"
"THEATER HEUTE","0040-5507","0040-5507","FRIEDRICH BERLIN VERLAG MBH","REINHARDSTRASSE 29, BERLIN, GERMANY, D-10117","German","Theater"
"THEATRE DANCE AND PERFORMANCE TRAINING","1944-3927","1944-3919","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Dance | Theater"
"THEATRE HISTORY STUDIES","0733-2033","2166-9953","UNIV ALABAMA PRESS","BOX 870380, TUSCALOOSA, USA, AL, 35487-0380","English","Theater"
"THEATRE JOURNAL","0192-2882","1086-332X","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","English","Theater"
"THEATRE NOTEBOOK","0040-5523","2051-8358","SOC THEATRE RES","PO BOX 53971, LONDON, ENGLAND, SW15 6UL","English","Theater"
"THEATRE RESEARCH INTERNATIONAL","0307-8833","1474-0672","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","Multi-Language","Theater"
"THEATRE SURVEY","0040-5574","1475-4533","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Theater"
"THEOLOGICAL STUDIES","0040-5639","2169-1304","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Religion"
"THEOLOGY AND SCIENCE","1474-6700","1474-6719","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","History & Philosophy Of Science | Religion"
"THEOLOGY TODAY","0040-5736","2044-2556","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Religion"
"THEORETICAL LINGUISTICS","0301-4428","1613-4060","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Language & Linguistics"
"THEORIA-A SWEDISH JOURNAL OF PHILOSOPHY","0040-5825","1755-2567","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Philosophy"
"THEORIA-REVISTA DE TEORIA HISTORIA Y FUNDAMENTOS DE LA CIENCIA","0495-4548","2171-679X","SERVICIO EDITORIAL UNIVERSIDAD DEL PAIS VASCO","APARTDO 1397, LEOIA, SPAIN, E 48080","English, Spanish","History & Philosophy Of Science"
"THEORY CULTURE & SOCIETY","0263-2764","1460-3616","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Cultural Studies"
"THIRD TEXT","0952-8822","1475-5297","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Art"
"THOMAS WOLFE REVIEW","0276-5683","2169-1452","THOMAS WOLFE SOC","UNIV N CAROLINA, CHAPEL HILL, N CAROLINA, WILSON LIBRARY, PO BOX 916, CHAPEL HILL, USA, NC, 27514","","Literature, American"
"THOMIST","0040-6325","","THOMIST PRESS","487 MICHIGAN AVE NE, WASHINGTON, USA, DC, 20017","English","Philosophy | Religion"
"THOUGHT-A JOURNAL OF PHILOSOPHY","2161-2234","2161-2234","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Philosophy"
"TIJDSCHRIFT VOOR FILOSOFIE","0040-750X","2031-8952","PEETERS","BONDGENOTENLAAN 153, LEUVEN, BELGIUM, B-3000","Multi-Language","Philosophy"
"TIJDSCHRIFT VOOR GESCHIEDENIS","0040-7518","0040-7518","WOLTERS-NOORDHOFF B V","BOX 58, GRONINGEN, NETHERLANDS, 9700","Multi-Language","History"
"TIJDSCHRIFT VOOR NEDERLANDSE TAAL-EN LETTERKUNDE","0040-7550","2212-0521","AMSTERDAM UNIV PRESS","NIEUWE PRINSENGRACHT 89, AMSTERDAM, Netherlands,  , 1018 VR","Dutch","Literature, German, Dutch, Scandinavian"
"TIJDSCHRIFT VOOR RECHTSGESCHIEDENIS-REVUE D HISTOIRE DU DROIT-THE LEGAL HISTORY REVIEW","0040-7585","0040-7585","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","History"
"TIME & MIND-THE JOURNAL OF ARCHAEOLOGY CONSCIOUSNESS AND CULTURE","1751-696X","1751-6978","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Archaeology"
"TLS-THE TIMES LITERARY SUPPLEMENT","0307-661X","1366-7211","TIMES SUPPLEMENTS LIMITED","TOWER HOUSE, SOVEREIGN PARK, MARKET HARBOROUGH, ENGLAND, LE87 4JJ","English","Humanities, Multidisciplinary"
"TOPIA-CANADIAN JOURNAL OF CULTURAL STUDIES","1206-0143","1916-0194","UNIV TORONTO PRESS INC","JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO, CANADA, ON, M3H 5T8","English","Cultural Studies"
"TOPOI-AN INTERNATIONAL REVIEW OF PHILOSOPHY","0167-7411","1572-8749","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","Multi-Language","Philosophy"
"TOUNG PAO","0082-5433","1568-5322","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","Multi-Language","Asian Studies"
"TRABAJOS DE PREHISTORIA","0082-5638","1988-3218","CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC","Editorial CSIC, C/VITRUVIO 8, MADRID, Spain, 28006","Spanish, English, French","Archaeology"
"TRADITIO-STUDIES IN ANCIENT AND MEDIEVAL HISTORY THOUGHT AND RELIGION","0362-1529","2166-5508","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","Multi-Language","Medieval & Renaissance Studies"
"TRAMES-JOURNAL OF THE HUMANITIES AND SOCIAL SCIENCES","1406-0922","1736-7514","ESTONIAN ACAD PUBLISHERS","6 KOHTU, TALLINN, Estonia, 10130","English","Humanities, Multidisciplinary"
"TRANSACTIONS OF THE AMERICAN PHILOLOGICAL ASSOCIATION","0360-5949","1533-0699","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","English","Classics"
"TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS","","2307-387X","MIT PRESS","ONE ROGERS ST, CAMBRIDGE, USA, MA, 02142-1209","English","Language & Linguistics"
"TRANSACTIONS OF THE CHARLES S PEIRCE SOCIETY","0009-1774","1558-9587","INDIANA UNIV PRESS","601 N MORTON STREET, BLOOMINGTON, USA, IN, 47404-3797","English","Philosophy"
"TRANSACTIONS OF THE PHILOLOGICAL SOCIETY","0079-1636","1467-968X","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","English","Language & Linguistics"
"TRANS-FORM-ACAO","0101-3173","1980-539X","UNESP-MARILIA","AV HYGINO MUZZI FILHO, 737, MARILIA, BRAZIL, SP, 17525-900","Portuguese, English","Philosophy"
"TRANSLATION AND INTERPRETING STUDIES","1932-2798","1876-2700","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME","English","Language & Linguistics"
"TRANSLATION AND LITERATURE","0968-1361","1750-0214","EDINBURGH UNIV PRESS","THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH, SCOTLAND, EH8 8PJ","English","Literature"
"TRANSLATION REVIEW","0737-4836","2164-0564","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Language & Linguistics | Literature"
"TRANSLATION STUDIES","1478-1700","1751-2921","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Language & Linguistics"
"TRANSLATOR","1355-6509","1757-0409","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Language & Linguistics"
"TRANSYLVANIAN REVIEW","1221-1249","1221-1249","CENTER TRANSYLVANIAN STUDIES","2 NASAUD ST, CLUJ-NAPOCA, ROMANIA, 400610","Multi-Language","History"
"TRENDS IN CLASSICS","1866-7473","1866-7481","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Classics"
"TULSA STUDIES IN WOMENS LITERATURE","0732-7730","1936-1645","UNIV TULSA","800 SOUTH TUCKER DR, TULSA, USA, OK, 74104","English","Literature"
"TUNA-AJALOOKULTUURI AJAKIRI","1406-4030","","RAHVUSARHIV-NATL ARCH ESTONIA","TONISMAGI 16, TALLINN, ESTONIA, 10119","Estonian","History"
"TURKIC LANGUAGES","1431-4983","1431-4983","HARRASSOWITZ VERLAG","KREUZBERGER RING 7B-D,, WIESBADEN, Germany, 65174","Multi-Language","Asian Studies | Language & Linguistics"
"TURKISH HISTORICAL REVIEW","1877-5454","1877-5462","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","History"
"TWENTIETH CENTURY BRITISH HISTORY","0955-2359","1477-4674","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","History"
"TWENTIETH CENTURY LITERATURE","0041-462X","2325-8101","HOFSTRA UNIV PRESS","TWENTIETH CENTURY LITERATURE, HEMPSTEAD, USA, NY, 11550","English","Literature"
"TWENTIETH-CENTURY MUSIC","1478-5722","1478-5730","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Music"
"TYDSKRIF VIR LETTERKUNDE","0041-476X","2309-9070","UNIV PRETORIA","TYDSKRIF VIR LETTERKUNDE ASSOC, FAC ECONOMIC & MANAGEMENT SCIENCES, GW-HSB 15-28 HUMANITIES BLDG, PRETORIA, SOUTH AFRICA, 0002","Afrikaans, Dutch, English, French","Literature"
"TYNDALE BULLETIN","0082-7118","0082-7118","TYNDALE HOUSE","36 SELWYN GARDENS, CAMBRIDGE, ENGLAND, CB3 9BA","English","Religion"
"UMENI-ART","0049-5123","1804-6509","INST ART HIST ACAD SCI CZECH REPUBLIC","HUSOVA 4, PRAHA 1, CZECH REPUBLIC, 110 00","Czech","Art"
"UNIVERSITAS-MONTHLY REVIEW OF PHILOSOPHY AND CULTURE","1015-8383","1015-8383","UNIVERSITAS","106 NO 96 LE-LI RD, DA AN DISTRICT, TAIPEI, TAIWAN, 10668","Chinese","Philosophy"
"UNIVERSITY OF TORONTO QUARTERLY","0042-0247","1712-5278","UNIV TORONTO PRESS INC","JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO, CANADA, ON, M3H 5T8","Multi-Language","Humanities, Multidisciplinary"
"URBAN DESIGN INTERNATIONAL","1357-5317","1468-4519","PALGRAVE MACMILLAN LTD","BRUNEL RD BLDG, HOUNDMILLS, BASINGSTOKE, ENGLAND, HANTS, RG21 6XS","English","Architecture"
"URBAN HISTORY","0963-9268","1469-8706","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","History"
"URBAN HISTORY REVIEW-REVUE D HISTOIRE URBAINE","0703-0428","1918-5138","UNIV TORONTO PRESS INC","JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO, CANADA, ON, M3H 5T8","Multi-Language","History"
"URBAN MORPHOLOGY","1027-4278","1027-4278","INT SEMINAR URBAN FORM","UNIV CHICAGO, COMMITTEE GEOGRAPHICAL STUDIES, 5828 S UNIVERSITY AVE, CHICAGO, USA, IL, 60637-1583","English","Architecture"
"UTILITAS","0953-8208","1741-6183","CAMBRIDGE UNIV PRESS","EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU","English","Philosophy"
"UTOPIAN STUDIES","1045-991X","2154-9648","PENN STATE UNIV PRESS","820 NORTH UNIV DRIVE, U S B 1, STE C, UNIVERSITY PK, USA, PA, 16802","English","Humanities, Multidisciplinary"
"VERBUM","1585-079X","1588-4309","PAZMANY PETER CATHOLIC UNIV, FACULTY HUMANITES","PPKE BTK INST ROMANISTICS, PILISCSABA, HUNGARY, EGYETEM U 1, 2087","English","History | Language & Linguistics | Literature, Romance"
"VERIFICHE","0391-4186","","ASSOC TRENTINA SCI UMANE","VIA SCHIAVONE 1, PADOVA, ITALY, I-35134","Italian","Philosophy"
"VERNACULAR ARCHITECTURE","0305-5477","1749-6292","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Architecture"
"VETUS TESTAMENTUM","0042-4935","1568-5330","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","Multi-Language","Religion"
"VIAL-VIGO INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS","1697-0381","1697-0381","UNIV VIGO","CAMPUS DE MARCOSENDE, SERVICIO PUBLICACIONES, VIGO, SPAIN, 36310","English","Language & Linguistics"
"VIATOR-MEDIEVAL AND RENAISSANCE STUDIES","0083-5897","2031-0234","BREPOLS PUBL","BEGIJNHOF 67, TURNHOUT, BELGIUM, B-2300","","Medieval & Renaissance Studies"
"VICTORIAN LITERATURE AND CULTURE","1060-1503","1470-1553","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Literature"
"VICTORIAN PERIODICALS REVIEW","0709-4698","1712-526X","JOHNS HOPKINS UNIV PRESS","JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363","English","Humanities, Multidisciplinary"
